CONTRACT,SPY PRICE,EXPIRE_DATE,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,STRIKE,STRIKE_DISTANCE_PCT,STRIKE DISTANCE,PRICEOPEN,PRICECLOSE,ROI %,INFLATION%,y,VIX PRICE
448.0 2022-02-04,454.76,2/4/2022,2.17,0.68268,0.03835,0.12548,-0.44257,0.0096,0.36117,284,7.93,448,0.015,-6.76,2.94,9.93,237.755102,0.5,5.0,21.95
449.0 2022-02-04,454.76,2/4/2022,2.17,0.65335,0.03977,0.13152,-0.45394,0.01019,0.34914,96,6.9,449,0.013,-5.76,2.56,9.41,267.578125,0.5,5.0,21.95
450.0 2022-02-04,454.76,2/4/2022,2.17,0.61993,0.04091,0.13679,-0.46408,0.01025,0.33718,2140,6.28,450,0.01,-4.76,1.98,8.1,309.0909091,0.5,5.0,21.95
451.0 2022-02-04,454.76,2/4/2022,2.17,0.58458,0.04216,0.1409,-0.46914,0.00993,0.32584,771,5.35,451,0.008,-3.76,1.71,7.3,326.9005848,0.5,5.0,21.95
452.0 2022-02-04,454.76,2/4/2022,2.17,0.54627,0.04301,0.14409,-0.46983,0.00978,0.31417,1215,4.94,452,0.006,-2.76,1.67,6.59,294.6107784,0.5,5.0,21.95
453.0 2022-02-04,454.76,2/4/2022,2.17,0.50655,0.04364,0.14615,-0.46577,0.00949,0.30285,2345,4.27,453,0.004,-1.76,1.22,5.74,370.4918033,0.5,5.0,21.95
454.0 2022-02-04,454.76,2/4/2022,2.17,0.4639,0.04366,0.14633,-0.45755,0.00935,0.29273,5508,3.63,454,0.002,-0.76,1.02,5.0,390.1960784,0.5,5.0,21.95
455.0 2022-02-04,454.76,2/4/2022,2.17,0.41852,0.04328,0.14562,-0.44253,0.00863,0.28259,15844,3.04,455,0.001,0.24,0.86,4.23,391.8604651,0.5,5.0,21.95
456.0 2022-02-04,454.76,2/4/2022,2.17,0.37267,0.04238,0.14208,-0.42026,0.00856,0.27259,11604,2.53,456,0.003,1.24,0.72,3.58,397.2222222,0.5,5.0,21.95
439.0 2022-02-04,455.13,2/4/2022,2.15,0.86801,0.02519,0.07114,-0.25594,0.00726,0.47496,41,15.79,439,0.035,-16.13,7.71,18.47,139.5590143,0.5,5.0,21.92
440.0 2022-02-04,455.13,2/4/2022,2.15,0.85547,0.02645,0.07529,-0.27625,0.00772,0.46166,246,15.65,440,0.033,-15.13,6.52,17.81,173.1595092,0.5,5.0,21.92
441.0 2022-02-04,455.13,2/4/2022,2.15,0.8422,0.0279,0.0803,-0.29342,0.00783,0.44869,141,14.81,441,0.031,-14.13,6.03,16.84,179.2703151,0.5,5.0,21.92
442.0 2022-02-04,455.13,2/4/2022,2.15,0.82582,0.02922,0.08648,-0.31795,0.00817,0.43621,155,13.93,442,0.029,-13.13,5.56,16.25,192.2661871,0.5,5.0,21.92
443.0 2022-02-04,455.13,2/4/2022,2.15,0.80784,0.03054,0.09279,-0.34215,0.00891,0.42516,27,13.08,443,0.027,-12.13,4.86,14.94,207.4074074,0.5,5.0,21.92
444.0 2022-02-04,455.13,2/4/2022,2.15,0.7926,0.03227,0.0974,-0.35365,0.00909,0.41053,111,12.0,444,0.024,-11.13,4.69,14.3,204.9040512,0.5,5.0,21.92
445.0 2022-02-04,455.13,2/4/2022,2.15,0.77062,0.03363,0.10433,-0.37843,0.00964,0.39914,235,10.84,445,0.022,-10.13,3.9,12.69,225.3846154,0.5,5.0,21.92
446.0 2022-02-04,455.13,2/4/2022,2.15,0.75154,0.0357,0.10915,-0.38678,0.00893,0.38394,136,10.12,446,0.02,-9.13,3.47,11.93,243.8040346,0.5,5.0,21.92
447.0 2022-02-04,455.13,2/4/2022,2.15,0.72424,0.0369,0.11629,-0.41168,0.00924,0.37334,161,9.19,447,0.018,-8.13,3.02,11.26,272.8476821,0.5,5.0,21.92
448.0 2022-02-04,455.13,2/4/2022,2.15,0.69712,0.03832,0.12239,-0.42968,0.01012,0.36252,356,8.45,448,0.016,-7.13,2.94,9.93,237.755102,0.5,5.0,21.92
449.0 2022-02-04,455.13,2/4/2022,2.15,0.66899,0.04016,0.12776,-0.4373,0.00931,0.34855,119,7.56,449,0.013,-6.13,2.56,9.41,267.578125,0.5,5.0,21.92
450.0 2022-02-04,455.13,2/4/2022,2.15,0.63467,0.04109,0.13348,-0.45608,0.01008,0.33892,2411,6.64,450,0.011,-5.13,1.98,8.1,309.0909091,0.5,5.0,21.92
451.0 2022-02-04,455.13,2/4/2022,2.15,0.6003,0.04259,0.13803,-0.46225,0.00952,0.32656,850,6.02,451,0.009,-4.13,1.71,7.3,326.9005848,0.5,5.0,21.92
452.0 2022-02-04,455.13,2/4/2022,2.15,0.5635,0.04349,0.14264,-0.4646,0.01012,0.31539,1322,5.21,452,0.007,-3.13,1.67,6.59,294.6107784,0.5,5.0,21.92
453.0 2022-02-04,455.13,2/4/2022,2.15,0.52287,0.04387,0.14503,-0.46667,0.00973,0.30519,2520,4.56,453,0.005,-2.13,1.22,5.74,370.4918033,0.5,5.0,21.92
454.0 2022-02-04,455.13,2/4/2022,2.15,0.48064,0.04445,0.14578,-0.45741,0.00893,0.29351,6246,3.85,454,0.002,-1.13,1.02,5.0,390.1960784,0.5,5.0,21.92
455.0 2022-02-04,455.13,2/4/2022,2.15,0.43599,0.04414,0.14579,-0.4457,0.00913,0.28369,18919,3.21,455,0.0,-0.13,0.86,4.23,391.8604651,0.5,5.0,21.92
456.0 2022-02-04,455.13,2/4/2022,2.15,0.39055,0.04314,0.1436,-0.42881,0.00846,0.27535,14878,2.66,456,0.002,0.87,0.72,3.58,397.2222222,0.5,5.0,21.92
439.0 2022-02-04,456.79,2/4/2022,2.12,0.88988,0.02344,0.06139,-0.21261,0.00726,0.49246,41,15.79,439,0.039,-17.79,7.71,18.47,139.5590143,0.5,5.0,21.4
440.0 2022-02-04,456.79,2/4/2022,2.12,0.87627,0.0245,0.06771,-0.24167,0.0072,0.48239,291,16.92,440,0.037,-16.79,6.52,17.81,173.1595092,0.5,5.0,21.4
441.0 2022-02-04,456.79,2/4/2022,2.12,0.86715,0.02591,0.07097,-0.25418,0.0074,0.46673,152,15.03,441,0.035,-15.79,6.03,16.84,179.2703151,0.5,5.0,21.4
442.0 2022-02-04,456.79,2/4/2022,2.12,0.85451,0.02724,0.0754,-0.27425,0.00769,0.45464,158,14.94,442,0.032,-14.79,5.56,16.25,192.2661871,0.5,5.0,21.4
443.0 2022-02-04,456.79,2/4/2022,2.12,0.84027,0.02864,0.08132,-0.29287,0.00787,0.44125,29,13.68,443,0.03,-13.79,4.86,14.94,207.4074074,0.5,5.0,21.4
444.0 2022-02-04,456.79,2/4/2022,2.12,0.82562,0.03014,0.08635,-0.31087,0.00861,0.42744,122,12.74,444,0.028,-12.79,4.69,14.3,204.9040512,0.5,5.0,21.4
445.0 2022-02-04,456.79,2/4/2022,2.12,0.80978,0.03172,0.09179,-0.32937,0.00843,0.41408,258,12.22,445,0.026,-11.79,3.9,12.69,225.3846154,0.5,5.0,21.4
446.0 2022-02-04,456.79,2/4/2022,2.12,0.79001,0.03331,0.09776,-0.35023,0.00904,0.40179,150,10.89,446,0.024,-10.79,3.47,11.93,243.8040346,0.5,5.0,21.4
447.0 2022-02-04,456.79,2/4/2022,2.12,0.77002,0.03509,0.10383,-0.36646,0.00923,0.38806,163,10.14,447,0.021,-9.79,3.02,11.26,272.8476821,0.5,5.0,21.4
448.0 2022-02-04,456.79,2/4/2022,2.12,0.74693,0.03674,0.10966,-0.38403,0.00951,0.37499,505,9.5,448,0.019,-8.79,2.94,9.93,237.755102,0.5,5.0,21.4
449.0 2022-02-04,456.79,2/4/2022,2.12,0.72236,0.03844,0.11602,-0.40074,0.00955,0.36248,137,8.24,449,0.017,-7.79,2.56,9.41,267.578125,0.5,5.0,21.4
450.0 2022-02-04,456.79,2/4/2022,2.12,0.69443,0.04026,0.12267,-0.41437,0.00994,0.35013,2585,7.61,450,0.015,-6.79,1.98,8.1,309.0909091,0.5,5.0,21.4
451.0 2022-02-04,456.79,2/4/2022,2.12,0.66472,0.04197,0.12805,-0.42492,0.00939,0.33656,973,7.03,451,0.013,-5.79,1.71,7.3,326.9005848,0.5,5.0,21.4
452.0 2022-02-04,456.79,2/4/2022,2.12,0.62915,0.04325,0.13364,-0.43929,0.00991,0.32617,1491,6.13,452,0.01,-4.79,1.67,6.59,294.6107784,0.5,5.0,21.4
453.0 2022-02-04,456.79,2/4/2022,2.12,0.59331,0.04497,0.13843,-0.44446,0.00964,0.31415,2679,5.44,453,0.008,-3.79,1.22,5.74,370.4918033,0.5,5.0,21.4
454.0 2022-02-04,456.79,2/4/2022,2.12,0.55277,0.04545,0.14285,-0.44739,0.00991,0.30272,6591,4.75,454,0.006,-2.79,1.02,5.0,390.1960784,0.5,5.0,21.4
455.0 2022-02-04,456.79,2/4/2022,2.12,0.51115,0.04625,0.14443,-0.44345,0.0089,0.2914,21678,4.09,455,0.004,-1.79,0.86,4.23,391.8604651,0.5,5.0,21.4
456.0 2022-02-04,456.79,2/4/2022,2.12,0.46517,0.04644,0.14541,-0.43512,0.00863,0.28058,18004,3.48,456,0.002,-0.79,0.72,3.58,397.2222222,0.5,5.0,21.4
439.0 2022-02-04,455.68,2/4/2022,2.1,0.88285,0.02505,0.06367,-0.21918,0.00728,0.47548,43,18.01,439,0.037,-16.68,7.71,18.47,139.5590143,0.5,5.0,21.68
440.0 2022-02-04,455.68,2/4/2022,2.1,0.8693,0.02621,0.06978,-0.2466,0.00768,0.46413,467,16.2,440,0.034,-15.68,6.52,17.81,173.1595092,0.5,5.0,21.68
441.0 2022-02-04,455.68,2/4/2022,2.1,0.85791,0.02764,0.07425,-0.26246,0.00805,0.45053,154,16.17,441,0.032,-14.68,6.03,16.84,179.2703151,0.5,5.0,21.68
442.0 2022-02-04,455.68,2/4/2022,2.1,0.84166,0.02894,0.0801,-0.28945,0.00825,0.4391,174,13.72,442,0.03,-13.68,5.56,16.25,192.2661871,0.5,5.0,21.68
443.0 2022-02-04,455.68,2/4/2022,2.1,0.82625,0.03046,0.08518,-0.30821,0.00816,0.42511,29,13.68,443,0.028,-12.68,4.86,14.94,207.4074074,0.5,5.0,21.68
444.0 2022-02-04,455.68,2/4/2022,2.1,0.8076,0.03189,0.09193,-0.33221,0.009,0.41353,122,12.74,444,0.026,-11.68,4.69,14.3,204.9040512,0.5,5.0,21.68
445.0 2022-02-04,455.68,2/4/2022,2.1,0.79013,0.03358,0.09777,-0.35045,0.0084,0.40025,282,11.5,445,0.023,-10.68,3.9,12.69,225.3846154,0.5,5.0,21.68
446.0 2022-02-04,455.68,2/4/2022,2.1,0.76721,0.03518,0.10388,-0.37325,0.00895,0.38884,163,10.07,446,0.021,-9.68,3.47,11.93,243.8040346,0.5,5.0,21.68
447.0 2022-02-04,455.68,2/4/2022,2.1,0.74501,0.0369,0.11052,-0.38956,0.0087,0.3758,163,10.14,447,0.019,-8.68,3.02,11.26,272.8476821,0.5,5.0,21.68
448.0 2022-02-04,455.68,2/4/2022,2.1,0.71896,0.03846,0.11685,-0.40918,0.00894,0.36387,536,8.53,448,0.017,-7.68,2.94,9.93,237.755102,0.5,5.0,21.68
449.0 2022-02-04,455.68,2/4/2022,2.1,0.69058,0.04014,0.12296,-0.42442,0.00905,0.35064,138,8.39,449,0.015,-6.68,2.56,9.41,267.578125,0.5,5.0,21.68
450.0 2022-02-04,455.68,2/4/2022,2.1,0.65846,0.04152,0.12871,-0.43945,0.00989,0.3396,2651,7.01,450,0.012,-5.68,1.98,8.1,309.0909091,0.5,5.0,21.68
451.0 2022-02-04,455.68,2/4/2022,2.1,0.62447,0.04308,0.13408,-0.44871,0.00995,0.32798,994,6.72,451,0.01,-4.68,1.71,7.3,326.9005848,0.5,5.0,21.68
452.0 2022-02-04,455.68,2/4/2022,2.1,0.58719,0.04396,0.13868,-0.45815,0.00998,0.31685,1539,5.5,452,0.008,-3.68,1.67,6.59,294.6107784,0.5,5.0,21.68
453.0 2022-02-04,455.68,2/4/2022,2.1,0.54752,0.04504,0.14277,-0.45891,0.00918,0.30503,2713,4.72,453,0.006,-2.68,1.22,5.74,370.4918033,0.5,5.0,21.68
454.0 2022-02-04,455.68,2/4/2022,2.1,0.50571,0.04542,0.14482,-0.45694,0.00934,0.29527,6955,3.96,454,0.004,-1.68,1.02,5.0,390.1960784,0.5,5.0,21.68
455.0 2022-02-04,455.68,2/4/2022,2.1,0.46118,0.04549,0.14499,-0.44881,0.00886,0.28518,23269,3.45,455,0.001,-0.68,0.86,4.23,391.8604651,0.5,5.0,21.68
456.0 2022-02-04,455.68,2/4/2022,2.1,0.41488,0.04494,0.14356,-0.43393,0.00793,0.27479,19889,2.89,456,0.001,0.32,0.72,3.58,397.2222222,0.5,5.0,21.68
439.0 2022-02-04,456.28,2/4/2022,2.08,0.89672,0.02477,0.05699,-0.17959,0.00645,0.47771,44,17.23,439,0.038,-17.28,7.71,18.47,139.5590143,0.5,5.0,21.44
440.0 2022-02-04,456.28,2/4/2022,2.08,0.88563,0.02598,0.06263,-0.20677,0.00695,0.46471,472,16.28,440,0.036,-16.28,6.52,17.81,173.1595092,0.5,5.0,21.44
441.0 2022-02-04,456.28,2/4/2022,2.08,0.87512,0.02746,0.06608,-0.22207,0.00662,0.45024,177,15.42,441,0.033,-15.28,6.03,16.84,179.2703151,0.5,5.0,21.44
442.0 2022-02-04,456.28,2/4/2022,2.08,0.86158,0.02891,0.07181,-0.24416,0.00769,0.43788,175,14.38,442,0.031,-14.28,5.56,16.25,192.2661871,0.5,5.0,21.44
443.0 2022-02-04,456.28,2/4/2022,2.08,0.84449,0.03029,0.07868,-0.27262,0.00771,0.42681,29,13.68,443,0.029,-13.28,4.86,14.94,207.4074074,0.5,5.0,21.44
444.0 2022-02-04,456.28,2/4/2022,2.08,0.83132,0.03219,0.08265,-0.28506,0.00793,0.41184,132,12.35,444,0.027,-12.28,4.69,14.3,204.9040512,0.5,5.0,21.44
445.0 2022-02-04,456.28,2/4/2022,2.08,0.812,0.03376,0.0895,-0.30964,0.00854,0.39913,326,11.94,445,0.025,-11.28,3.9,12.69,225.3846154,0.5,5.0,21.44
446.0 2022-02-04,456.28,2/4/2022,2.08,0.78972,0.03525,0.09644,-0.33543,0.00797,0.38823,183,10.83,446,0.023,-10.28,3.47,11.93,243.8040346,0.5,5.0,21.44
447.0 2022-02-04,456.28,2/4/2022,2.08,0.7682,0.03706,0.10241,-0.35548,0.00869,0.37496,163,10.14,447,0.02,-9.28,3.02,11.26,272.8476821,0.5,5.0,21.44
448.0 2022-02-04,456.28,2/4/2022,2.08,0.74127,0.03855,0.10977,-0.38056,0.00894,0.36502,543,9.27,448,0.018,-8.28,2.94,9.93,237.755102,0.5,5.0,21.44
449.0 2022-02-04,456.28,2/4/2022,2.08,0.71421,0.0403,0.11652,-0.39772,0.00962,0.35204,156,8.24,449,0.016,-7.28,2.56,9.41,267.578125,0.5,5.0,21.44
450.0 2022-02-04,456.28,2/4/2022,2.08,0.68467,0.04216,0.12338,-0.41197,0.00922,0.33944,3774,7.4,450,0.014,-6.28,1.98,8.1,309.0909091,0.5,5.0,21.44
451.0 2022-02-04,456.28,2/4/2022,2.08,0.6512,0.04363,0.12865,-0.42697,0.00966,0.32826,1023,6.66,451,0.012,-5.28,1.71,7.3,326.9005848,0.5,5.0,21.44
452.0 2022-02-04,456.28,2/4/2022,2.08,0.6153,0.04519,0.13441,-0.43417,0.00974,0.31517,1563,5.75,452,0.009,-4.28,1.67,6.59,294.6107784,0.5,5.0,21.44
453.0 2022-02-04,456.28,2/4/2022,2.08,0.57622,0.04626,0.13892,-0.44096,0.0097,0.30429,2804,4.99,453,0.007,-3.28,1.22,5.74,370.4918033,0.5,5.0,21.44
454.0 2022-02-04,456.28,2/4/2022,2.08,0.53441,0.04722,0.14192,-0.44015,0.0088,0.29238,7184,4.3,454,0.005,-2.28,1.02,5.0,390.1960784,0.5,5.0,21.44
455.0 2022-02-04,456.28,2/4/2022,2.08,0.48954,0.04751,0.14381,-0.43621,0.0089,0.28224,24840,3.69,455,0.003,-1.28,0.86,4.23,391.8604651,0.5,5.0,21.44
456.0 2022-02-04,456.28,2/4/2022,2.08,0.44142,0.04737,0.1441,-0.42447,0.00875,0.27163,21858,3.12,456,0.001,-0.28,0.72,3.58,397.2222222,0.5,5.0,21.44
439.0 2022-02-04,456.25,2/4/2022,2.06,0.90388,0.02508,0.05363,-0.15041,0.00571,0.47248,44,17.23,439,0.038,-17.25,7.71,18.47,139.5590143,0.5,5.0,21.37
440.0 2022-02-04,456.25,2/4/2022,2.06,0.89235,0.02641,0.05888,-0.18512,0.00673,0.46023,505,15.78,440,0.036,-16.25,6.52,17.81,173.1595092,0.5,5.0,21.37
441.0 2022-02-04,456.25,2/4/2022,2.06,0.87937,0.0278,0.06392,-0.21036,0.00667,0.44799,204,15.32,441,0.033,-15.25,6.03,16.84,179.2703151,0.5,5.0,21.37
442.0 2022-02-04,456.25,2/4/2022,2.06,0.86555,0.02929,0.06893,-0.23214,0.00655,0.43436,177,14.31,442,0.031,-14.25,5.56,16.25,192.2661871,0.5,5.0,21.37
443.0 2022-02-04,456.25,2/4/2022,2.06,0.8498,0.03076,0.07528,-0.25688,0.00709,0.42297,30,13.74,443,0.029,-13.25,4.86,14.94,207.4074074,0.5,5.0,21.37
444.0 2022-02-04,456.25,2/4/2022,2.06,0.83346,0.03241,0.08195,-0.28066,0.0081,0.41006,136,12.36,444,0.027,-12.25,4.69,14.3,204.9040512,0.5,5.0,21.37
445.0 2022-02-04,456.25,2/4/2022,2.06,0.81447,0.03403,0.08857,-0.30551,0.00849,0.3974,384,11.7,445,0.025,-11.25,3.9,12.69,225.3846154,0.5,5.0,21.37
446.0 2022-02-04,456.25,2/4/2022,2.06,0.79324,0.03573,0.09524,-0.32826,0.00805,0.38596,238,10.81,446,0.022,-10.25,3.47,11.93,243.8040346,0.5,5.0,21.37
447.0 2022-02-04,456.25,2/4/2022,2.06,0.77021,0.03743,0.10168,-0.35105,0.00844,0.37323,168,9.52,447,0.02,-9.25,3.02,11.26,272.8476821,0.5,5.0,21.37
448.0 2022-02-04,456.25,2/4/2022,2.06,0.74485,0.0392,0.1082,-0.37208,0.00865,0.36173,591,8.97,448,0.018,-8.25,2.94,9.93,237.755102,0.5,5.0,21.37
449.0 2022-02-04,456.25,2/4/2022,2.06,0.71708,0.04096,0.11559,-0.39133,0.00883,0.34947,185,8.15,449,0.016,-7.25,2.56,9.41,267.578125,0.5,5.0,21.37
450.0 2022-02-04,456.25,2/4/2022,2.06,0.68599,0.04243,0.12192,-0.41133,0.0088,0.33828,3916,7.31,450,0.014,-6.25,1.98,8.1,309.0909091,0.5,5.0,21.37
451.0 2022-02-04,456.25,2/4/2022,2.06,0.65289,0.04421,0.12858,-0.42311,0.00948,0.32566,1045,6.71,451,0.012,-5.25,1.71,7.3,326.9005848,0.5,5.0,21.37
452.0 2022-02-04,456.25,2/4/2022,2.06,0.61612,0.04549,0.13365,-0.43474,0.00907,0.31415,1651,5.65,452,0.009,-4.25,1.67,6.59,294.6107784,0.5,5.0,21.37
453.0 2022-02-04,456.25,2/4/2022,2.06,0.57642,0.04681,0.13799,-0.43969,0.00938,0.30316,2912,4.93,453,0.007,-3.25,1.22,5.74,370.4918033,0.5,5.0,21.37
454.0 2022-02-04,456.25,2/4/2022,2.06,0.5337,0.04752,0.14228,-0.4423,0.0089,0.29166,7434,4.3,454,0.005,-2.25,1.02,5.0,390.1960784,0.5,5.0,21.37
455.0 2022-02-04,456.25,2/4/2022,2.06,0.48827,0.04776,0.14345,-0.43805,0.00891,0.28138,26084,3.71,455,0.003,-1.25,0.86,4.23,391.8604651,0.5,5.0,21.37
456.0 2022-02-04,456.25,2/4/2022,2.06,0.44065,0.04757,0.14329,-0.42662,0.00857,0.27091,24893,3.06,456,0.001,-0.25,0.72,3.58,397.2222222,0.5,5.0,21.37
439.0 2022-02-04,456.99,2/4/2022,2.04,0.91059,0.02412,0.05063,-0.13008,0.00532,0.48261,48,18.47,439,0.039,-17.99,7.71,18.47,139.5590143,0.5,5.0,20.8
440.0 2022-02-04,456.99,2/4/2022,2.04,0.89828,0.02527,0.05563,-0.17016,0.00658,0.4716,521,17.54,440,0.037,-16.99,6.52,17.81,173.1595092,0.5,5.0,20.8
441.0 2022-02-04,456.99,2/4/2022,2.04,0.88617,0.02654,0.06126,-0.20205,0.00609,0.45854,204,15.32,441,0.035,-15.99,6.03,16.84,179.2703151,0.5,5.0,20.8
442.0 2022-02-04,456.99,2/4/2022,2.04,0.87435,0.02799,0.06662,-0.22314,0.00697,0.44542,186,15.58,442,0.033,-14.99,5.56,16.25,192.2661871,0.5,5.0,20.8
443.0 2022-02-04,456.99,2/4/2022,2.04,0.86204,0.02968,0.07052,-0.24043,0.00715,0.43143,33,14.67,443,0.031,-13.99,4.86,14.94,207.4074074,0.5,5.0,20.8
444.0 2022-02-04,456.99,2/4/2022,2.04,0.84535,0.03116,0.07687,-0.2665,0.00787,0.42012,141,13.75,444,0.028,-12.99,4.69,14.3,204.9040512,0.5,5.0,20.8
445.0 2022-02-04,456.99,2/4/2022,2.04,0.82876,0.03285,0.08313,-0.28645,0.00771,0.4059,429,12.6,445,0.026,-11.99,3.9,12.69,225.3846154,0.5,5.0,20.8
446.0 2022-02-04,456.99,2/4/2022,2.04,0.80883,0.03436,0.09001,-0.31471,0.00851,0.39488,245,11.45,446,0.024,-10.99,3.47,11.93,243.8040346,0.5,5.0,20.8
447.0 2022-02-04,456.99,2/4/2022,2.04,0.78984,0.0365,0.0951,-0.32899,0.00777,0.37985,177,10.56,447,0.022,-9.99,3.02,11.26,272.8476821,0.5,5.0,20.8
448.0 2022-02-04,456.99,2/4/2022,2.04,0.76438,0.03794,0.10327,-0.35756,0.0088,0.36999,999,9.89,448,0.02,-8.99,2.94,9.93,237.755102,0.5,5.0,20.8
449.0 2022-02-04,456.99,2/4/2022,2.04,0.74043,0.04002,0.10911,-0.37274,0.00853,0.35547,208,9.14,449,0.017,-7.99,2.56,9.41,267.578125,0.5,5.0,20.8
450.0 2022-02-04,456.99,2/4/2022,2.04,0.71099,0.04172,0.11603,-0.39355,0.00934,0.34448,4057,8.17,450,0.015,-6.99,1.98,8.1,309.0909091,0.5,5.0,20.8
451.0 2022-02-04,456.99,2/4/2022,2.04,0.67945,0.04338,0.1236,-0.41171,0.00954,0.33302,1086,7.16,451,0.013,-5.99,1.71,7.3,326.9005848,0.5,5.0,20.8
452.0 2022-02-04,456.99,2/4/2022,2.04,0.64591,0.04529,0.12866,-0.42057,0.00949,0.31983,1777,6.36,452,0.011,-4.99,1.67,6.59,294.6107784,0.5,5.0,20.8
453.0 2022-02-04,456.99,2/4/2022,2.04,0.60782,0.04652,0.13433,-0.43223,0.00923,0.30846,3061,5.52,453,0.009,-3.99,1.22,5.74,370.4918033,0.5,5.0,20.8
454.0 2022-02-04,456.99,2/4/2022,2.04,0.56665,0.04778,0.13871,-0.43666,0.00955,0.29706,7660,4.85,454,0.007,-2.99,1.02,5.0,390.1960784,0.5,5.0,20.8
455.0 2022-02-04,456.99,2/4/2022,2.04,0.52327,0.04824,0.14216,-0.4396,0.00913,0.28709,27171,4.1,455,0.004,-1.99,0.86,4.23,391.8604651,0.5,5.0,20.8
456.0 2022-02-04,456.99,2/4/2022,2.04,0.47617,0.04873,0.1432,-0.43083,0.00845,0.27512,26459,3.51,456,0.002,-0.99,0.72,3.58,397.2222222,0.5,5.0,20.8
439.0 2022-02-04,457.4,2/4/2022,2.02,0.93071,0.02447,0.03983,-0.0605,0.00466,0.47555,48,18.47,439,0.04,-18.4,7.71,18.47,139.5590143,0.5,5.0,20.61
440.0 2022-02-04,457.4,2/4/2022,2.02,0.92203,0.02591,0.04434,-0.07994,0.00441,0.46171,1020,17.28,440,0.038,-17.4,6.52,17.81,173.1595092,0.5,5.0,20.61
441.0 2022-02-04,457.4,2/4/2022,2.02,0.90992,0.02713,0.0498,-0.11537,0.0049,0.45006,204,15.32,441,0.036,-16.4,6.03,16.84,179.2703151,0.5,5.0,20.61
442.0 2022-02-04,457.4,2/4/2022,2.02,0.90117,0.02888,0.05388,-0.13512,0.00547,0.43504,186,15.58,442,0.034,-15.4,5.56,16.25,192.2661871,0.5,5.0,20.61
443.0 2022-02-04,457.4,2/4/2022,2.02,0.88281,0.03017,0.06159,-0.18862,0.00566,0.42575,33,14.67,443,0.031,-14.4,4.86,14.94,207.4074074,0.5,5.0,20.61
444.0 2022-02-04,457.4,2/4/2022,2.02,0.86819,0.03184,0.0674,-0.2111,0.00693,0.41255,153,13.5,444,0.029,-13.4,4.69,14.3,204.9040512,0.5,5.0,20.61
445.0 2022-02-04,457.4,2/4/2022,2.02,0.85545,0.03398,0.07225,-0.22516,0.0068,0.39759,465,12.53,445,0.027,-12.4,3.9,12.69,225.3846154,0.5,5.0,20.61
446.0 2022-02-04,457.4,2/4/2022,2.02,0.83423,0.03552,0.07956,-0.25729,0.00731,0.38624,251,11.71,446,0.025,-11.4,3.47,11.93,243.8040346,0.5,5.0,20.61
447.0 2022-02-04,457.4,2/4/2022,2.02,0.80826,0.03679,0.08878,-0.29721,0.00788,0.37851,197,10.7,447,0.023,-10.4,3.02,11.26,272.8476821,0.5,5.0,20.61
448.0 2022-02-04,457.4,2/4/2022,2.02,0.78464,0.03858,0.096,-0.32193,0.00816,0.36675,1008,10.35,448,0.021,-9.4,2.94,9.93,237.755102,0.5,5.0,20.61
449.0 2022-02-04,457.4,2/4/2022,2.02,0.75865,0.04037,0.10373,-0.347,0.00844,0.35582,281,8.89,449,0.018,-8.4,2.56,9.41,267.578125,0.5,5.0,20.61
450.0 2022-02-04,457.4,2/4/2022,2.02,0.73229,0.04253,0.11013,-0.36355,0.00867,0.34145,4163,8.05,450,0.016,-7.4,1.98,8.1,309.0909091,0.5,5.0,20.61
451.0 2022-02-04,457.4,2/4/2022,2.02,0.69782,0.04369,0.11909,-0.39396,0.00933,0.33347,1124,7.76,451,0.014,-6.4,1.71,7.3,326.9005848,0.5,5.0,20.61
452.0 2022-02-04,457.4,2/4/2022,2.02,0.66551,0.04587,0.12464,-0.40401,0.0093,0.31987,1960,6.32,452,0.012,-5.4,1.67,6.59,294.6107784,0.5,5.0,20.61
453.0 2022-02-04,457.4,2/4/2022,2.02,0.62623,0.04677,0.13104,-0.42395,0.00904,0.30999,3109,5.61,453,0.01,-4.4,1.22,5.74,370.4918033,0.5,5.0,20.61
454.0 2022-02-04,457.4,2/4/2022,2.02,0.58651,0.04816,0.13666,-0.43033,0.00926,0.29803,7844,4.85,454,0.007,-3.4,1.02,5.0,390.1960784,0.5,5.0,20.61
455.0 2022-02-04,457.4,2/4/2022,2.02,0.54341,0.04904,0.14012,-0.43355,0.00893,0.28703,28053,4.33,455,0.005,-2.4,0.86,4.23,391.8604651,0.5,5.0,20.61
456.0 2022-02-04,457.4,2/4/2022,2.02,0.49651,0.04888,0.14288,-0.43564,0.00871,0.2791,28259,3.68,456,0.003,-1.4,0.72,3.58,397.2222222,0.5,5.0,20.61
439.0 2022-02-04,457.23,2/4/2022,2.0,0.90384,0.02324,0.05353,-0.16511,0.00603,0.49516,48,18.47,439,0.04,-18.23,7.71,18.47,139.5590143,0.5,5.0,20.77
440.0 2022-02-04,457.23,2/4/2022,2.0,0.90884,0.02536,0.05088,-0.12963,0.00538,0.46966,1060,17.81,440,0.038,-17.23,6.52,17.81,173.1595092,0.5,5.0,20.77
441.0 2022-02-04,457.23,2/4/2022,2.0,0.88812,0.02613,0.06035,-0.20082,0.00649,0.46438,241,16.84,441,0.035,-16.23,6.03,16.84,179.2703151,0.5,5.0,20.77
